,iso3_country,gas,emissions_quantity,capacity,capacity_factor,activity,st_astext,year,use_biomass,use_gas_or_oil,use_gas,use_coal,use_oil,use_other_fossil,owner_name,owner_direct_parent,owner_grouping,asset_name
100,IRQ,co2e_100yr,5495000.0,3500,0.25,7665000,POINT(44.6573 33.1634),2021,False,True,False,False,False,False,,,,Besmaya power station
101,IRQ,co2e_20yr,5495000.0,3500,0.25,7665000,POINT(44.6573 33.1634),2021,False,True,False,False,False,False,,,,Besmaya power station
102,IRQ,co2,5181000.0,3000,0.275,7227000,POINT(44.6573 33.1634),2019,False,True,False,False,False,False,,,,Besmaya power station
103,IRQ,co2e_100yr,5181000.0,3000,0.275,7227000,POINT(44.6573 33.1634),2019,False,True,False,False,False,False,,,,Besmaya power station
104,IRQ,co2e_20yr,5181000.0,3000,0.275,7227000,POINT(44.6573 33.1634),2019,False,True,False,False,False,False,,,,Besmaya power station
105,IRQ,co2,5510000.0,3500,0.25,7686000,POINT(44.6573 33.1634),2020,False,True,False,False,False,False,,,,Besmaya power station
106,SAU,co2e_100yr,5877000.0,2099,0.391,7197000,POINT(46.5718 24.5946),2019,False,True,False,False,True,False,,,,Riyadh 8 power plant
107,SAU,co2e_20yr,5877000.0,2099,0.391,7197000,POINT(46.5718 24.5946),2019,False,True,False,False,True,False,,,,Riyadh 8 power plant
108,SAU,co2,5501000.0,2099,0.365,6738000,POINT(46.5718 24.5946),2020,False,True,False,False,True,False,,,,Riyadh 8 power plant
109,SAU,co2e_100yr,5501000.0,2099,0.365,6738000,POINT(46.5718 24.5946),2020,False,True,False,False,True,False,,,,Riyadh 8 power plant
110,SAU,co2e_20yr,5501000.0,2099,0.365,6738000,POINT(46.5718 24.5946),2020,False,True,False,False,True,False,,,,Riyadh 8 power plant
111,SAU,co2,5741000.0,2099,0.382,7031000,POINT(46.5718 24.5946),2021,False,True,False,False,True,False,,,,Riyadh 8 power plant
112,SAU,co2e_100yr,5741000.0,2099,0.382,7031000,POINT(46.5718 24.5946),2021,False,True,False,False,True,False,,,,Riyadh 8 power plant
113,SAU,co2e_20yr,5741000.0,2099,0.382,7031000,POINT(46.5718 24.5946),2021,False,True,False,False,True,False,,,,Riyadh 8 power plant
114,SAU,co2,5877000.0,2099,0.391,7197000,POINT(46.5718 24.5946),2019,False,True,False,False,True,False,,,,Riyadh 8 power plant
115,USA,co2e_20yr,9039000.0,1210,0.913,9681000,POINT(-101.1571 47.3777),2021,False,False,False,True,False,False,Rainbow Energy Center LLC,United Energy,United Energy,Coal Creek
116,USA,co2,8213000.0,1210,0.83,8797000,POINT(-101.1571 47.3777),2019,False,False,False,True,False,False,Rainbow Energy Center LLC,United Energy,United Energy,Coal Creek
117,USA,co2e_100yr,8213000.0,1210,0.83,8797000,POINT(-101.1571 47.3777),2019,False,False,False,True,False,False,Rainbow Energy Center LLC,United Energy,United Energy,Coal Creek
